English,105k,Score,avg8,Score,exp1_5000,Score,exp1_105,Score,exp1_avg8,Score,exp2_500,Score,exp2-500_105,Score,exp2-500_avg8,Score
"Specifically, the virus was found to be detectable for up to three days on plastic (polypropylene) and 304 stainless steel, for one day on cardboard, and for up to four hours on copper.",وعلى وجه التحديد، وجد أن الفيروس قابل للكشف لمدة تصل إلى ثلاثة أيام على البلاستيك (البوليبروبيلين) و304 فولاذ مقاوم للصدأ، ويوم واحد على الكرتون، ولمدة تصل إلى أربع ساعات على النحاس.,4,وعلى وجه التحديد، وجد أن الفيروس قابل للكشف لمدة تصل إلى ثلاثة أيام على البلاستيك (بولي بروبيلين) و304 فولاذ لا يصدأ، ولمدة يوم واحد على الورق المقوى، ولمدة تصل إلى أربع ساعات على النحاس.,4,وتبين على وجه التحديد أن الفيروس يمكن اكتشافه لمدة تصل إلى ثلاثة أيام على البلاستيك (البولي بروبيلين) و304 من الفولاذ المقاوم للصدأ، لمدة يوم واحد على الورق المقوى، ولمدة تصل إلى أربع ساعات على النحاس.,4,وعلى وجه التحديد، وجد أن الفيروس يمكن اكتشافه لمدة تصل إلى ثلاثة أيام على البلاستيك (بولي بروبيلين) و304 من الفولاذ المقاوم للصدأ، ولمدة يوم واحد على الورق المقوى، ولمدة تصل إلى أربع ساعات على النحاس.,4,على وجه التحديد، وجد أن الفيروس يمكن اكتشافه لمدة تصل إلى ثلاثة أيام على البلاستيك (بولي بروبيلين) و304 من الفولاذ المقاوم للصدأ، لمدة يوم واحد على الورق المقوى، ولمدة تصل إلى أربع ساعات على النحاس.,4,على وجه التحديد، وجد أن الفيروس يمكن اكتشافه لمدة تصل إلى ثلاثة أيام على البلاستيك (بولي بروبيلين) و304 من الفولاذ المقاوم للصدأ، لمدة يوم واحد على الكرتون، ولمدة تصل إلى أربع ساعات على النحاس.,4,وعلى وجه التحديد، وجد أن الفيروس يمكن اكتشافه لمدة تصل إلى ثلاثة أيام على البلاستيك (بولي بروبيلين) و304 فولاذ مقاوم للصدأ، ولمدة يوم واحد على الكرتون، ولمدة تصل إلى أربع ساعات على النحاس.,4,وعلى وجه التحديد، وجد أن الفيروس قابل للكشف لمدة تصل إلى ثلاثة أيام على البلاستيك (بولي بروبيلين) و304 فولاذ مقاوم للصدأ، لمدة يوم واحد على الكرتون، ولمدة تصل إلى أربع ساعات على النحاس.,4
Identifying the animal hosts has direct implications in the prevention of human diseases.,وتحديد الحيوانات المضيفة له آثار مباشرة في الوقاية من الأمراض البشرية.,4,وتحديد الحيوانات المضيفة له آثار مباشرة في الوقاية من الأمراض البشرية.,4,تحديد المضيفات الحيوانية له آثار مباشرة في الوقاية من الأمراض التي تصيب الإنسان.,4,تحديد الحيوانات المضيفة له آثار مباشرة في الوقاية من الأمراض البشرية.,4,تحديد الحيوانات المضيفة له آثار مباشرة في الوقاية من الأمراض البشرية.,4,تحديد مضيفي الحيوانات له آثار مباشرة في الوقاية من الأمراض البشرية.,4,تحديد الحيوانات المضيفة له آثار مباشرة في الوقاية من الأمراض البشرية.,4,تحديد الحيوانات المضيفة له آثار مباشرة في الوقاية من الأمراض البشرية.,4
Russia deployed facial recognition technology to detect quarantine breakers.,نشرت روسيا تقنية التعرف على الوجه للكشف عن قواطع الحجر الصحي.,3,نشرت روسيا تقنية التعرف على الوجه للكشف عن كسر الحجر الصحي.,4,نشرت روسيا تقنية التعرف على الوجه للكشف عن كسارات الحجر الصحي.,3,نشرت روسيا تقنية التعرف على الوجه لاكتشاف قواطع الحجر الصحي.,3,نشرت روسيا تقنية التعرف على الوجه للكشف عن قواطع الحجر الصحي.,3,روسيا نشرت تقنية التعرف على الوجه لاكتشاف قواطع الحجر الصحي.,3,نشرت روسيا تقنية التعرف على الوجه لاكتشاف قواطع الحجر الصحي.,3,نشرت روسيا تقنية التعرف على الوجه للكشف عن قواطع الحجر الصحي.,3
"In an online news briefing, the director of IEDCR, Dr Meerjady Sabrina Flora, said the fatalities included four males and one female.",وفي إحاطة إعلامية على الإنترنت، قال مدير المعهد، الدكتور ميرجادي سابرينا فلورا، إن الوفيات شملت أربعة رجال وامرأة واحدة.,3,وفي إحاطة إخبارية على الإنترنت، قالت مديرة المعهد، الدكتورة ميرجادي سابرينا فلورا، إن الوفيات شملت أربعة ذكور وأنثى واحدة.,3,وفي إحاطة إخبارية على الإنترنت، قال مدير IEDCR، الدكتور ميرجادي سابرينا فلورا، إن الوفيات شملت أربعة من الذكور وامرأة واحدة.,3,وفي إحاطة إخبارية على الإنترنت، قال مدير IEDCR، الدكتور ميرجادي سابرينا فلورا، إن الوفيات شملت أربعة ذكور وأنثى واحدة.,3,وفي إحاطة إخبارية على الإنترنت، قال مدير المعهد، الدكتور ميرجادي سابرينا فلورا، إن الوفيات شملت أربعة ذكور وأنثى واحدة.,3,في إحاطة إخبارية على الإنترنت، قال مدير IEDCR، الدكتور ميرجادي سابرينا فلورا، إن الوفيات شملت أربعة ذكور وأنثى واحدة.,3,وفي إحاطة إخبارية على الإنترنت، قال مدير المعهد، الدكتور ميرجادي سابرينا فلورا، إن الوفيات شملت أربعة ذكور وأنثى واحدة.,3,وفي إحاطة إخبارية على الإنترنت، قال مدير المعهد، الدكتور ميرجادي سابرينا فلورا، إن الوفيات شملت أربعة ذكور وأنثى واحدة.,3
"If you do wear a mask, make sure to use it correctly.",إذا كنت لا ارتداء قناع، تأكد من استخدامه بشكل صحيح.,3,إذا كنت لا ارتداء قناع، تأكد من استخدامه بشكل صحيح.,3,إذا كنت ترتدي قناعًا، تأكد من استخدامه بشكل صحيح.,4,إذا كنت لا ارتداء قناع، تأكد من استخدامه بشكل صحيح.,3,إذا كنت لا ارتداء قناع، تأكد من استخدامه بشكل صحيح.,3,إذا كنت لا ارتداء قناع، تأكد من استخدامه بشكل صحيح.,3,إذا كنت لا ارتداء قناع، تأكد من استخدامه بشكل صحيح.,3,إذا كنت لا ارتداء قناع، تأكد من استخدامه بشكل صحيح.,3
"Evidence to date is that ca 80% of individuals with COVID-19 have a mild disease, i.e. a respiratory tract infection with or without pneumonia, and most of these recover.",الأدلة حتى الآن هي أن حوالي 80٪ من الأفراد المصابين بـ COVID-19 لديهم مرض خفيف ، أي عدوى الجهاز التنفسي مع أو بدون ذات الرئة ، ومعظم هؤلاء يتعافى.,4,الدليل حتى الآن هو أن حوالي 80٪ من الأفراد المصابين بـ COVID-19 لديهم مرض خفيف، أي عدوى الجهاز التنفسي مع أو بدون التهاب رئوي، ومعظم هؤلاء يتعافى.,4,والدليل على ذلك حتى الآن أن حوالي 80٪ من الأفراد المصابين بمرض كوفيد-19 يعانون من مرض خفيف، أي التهاب في الجهاز التنفسي مع أو بدون التهاب رئوي، ومعظم هؤلاء يتعافون.,4,الأدلة حتى الآن هي أن حوالي 80٪ من الأفراد الذين يعانون من كوفيد-19 لديهم مرض خفيف، أي عدوى الجهاز التنفسي مع أو بدون التهاب رئوي، ومعظم هؤلاء يتعافى.,4,الأدلة حتى الآن هي أن حوالي 80٪ من الأفراد الذين يعانون من كوفيد-19 لديهم مرض خفيف، أي عدوى الجهاز التنفسي مع أو بدون التهاب رئوي، ومعظم هؤلاء يتعافى.,4,الأدلة حتى الآن هي أن حوالي 80٪ من الأفراد الذين يعانون من كوفيد-19 لديهم مرض خفيف، أي عدوى الجهاز التنفسي مع أو بدون التهاب رئوي، ومعظم هؤلاء يتعافيون.,4,الأدلة حتى الآن هي أن حوالي 80٪ من الأفراد المصابين بـ COVID-19 لديهم مرض خفيف، أي عدوى الجهاز التنفسي مع أو بدون التهاب رئوي، ومعظم هؤلاء يتعافى.,4,الدليل حتى الآن هو أن حوالي 80٪ من الأفراد المصابين بـ COVID-19 لديهم مرض خفيف، أي عدوى الجهاز التنفسي مع أو بدون التهاب رئوي، ومعظم هؤلاء يتعافيون.,4
"Sales went up in a ""sharp increase"" last week, according to a Woolworths spokesperson.","ارتفعت المبيعات في ""زيادة حادة"" الأسبوع الماضي، وفقا لمتحدث باسم وولوورث.",4,"ارتفعت المبيعات في ""زيادة حادة"" الأسبوع الماضي، وفقا لمتحدث باسم وولوورث.",4,"صعدت المبيعات في ""زيادة حادة"" الأسبوع الماضي، وفقا للمتحدث باسم وول ورثز.",4,"ارتفعت المبيعات في ""زيادة حادة"" الأسبوع الماضي، وفقا للمتحدث باسم وول ورثز.",4,"ارتفعت المبيعات في ""زيادة حادة"" الأسبوع الماضي، وفقا للمتحدث باسم وول ورثز.",4,"ارتفعت المبيعات في ""زيادة حادة"" الأسبوع الماضي، وفقا لمتحدث باسم وولوورث.",4,"ارتفعت المبيعات في ""زيادة حادة"" الأسبوع الماضي، وفقا للمتحدث باسم وولوورث.",4,"ارتفعت المبيعات في ""زيادة حادة"" الأسبوع الماضي، وفقا لمتحدث باسم وولوورث.",4
The epidemiology of COVID-19 remains emergent.,لا تزال أوبئة كوفيد-19 ناشئة.,3,لا يزال علم الأوبئة لـ COVID-19 ناشئًا.,4,وتبقى أوبئة كوفيد-19 ناشئة.,3,وتبقى أوبئة كوفيد-19 ناشئة.,3,وتبقى أوبئة كوفيد-19 ناشئة.,3,لا يزال علم الأوبئة من كوفيد-19 ناشئًا.,4,لا تزال أوبئة كوفيد-19 ناشئة.,3,لا تزال الحالة الوبائية لـ COVID-19 ناشئة.,4
"Have a lead to facilitate every meeting, someone to monitor the chat for questions and track the speaker list, and someone to help take notes (or do collaborative note-taking).",• أن يكون له دور قيادي في تيسير كل اجتماع، وأن يكون له دور في رصد الدردشة من أجل طرح الأسئلة وتتبع قائمة المتكلمين، وأن يكون له دور في المساعدة على تدوين الملاحظات (أو أن يكون له دور تعاوني في تدوين الملاحظات).,3,القيام بدور قيادي لتيسير كل اجتماع، وشخص لرصد الدردشة من أجل الأسئلة وتتبع قائمة المتكلمين، وشخص للمساعدة في تدوين الملاحظات (أو القيام بالمشاركة في تدوين الملاحظات).,4,أن يكون لديك ما يؤدي إلى تسهيل كل اجتماع، وشخص لمراقبة الدردشة للأسئلة وتتبع قائمة المتكلمين، وشخص للمساعدة في تدوين الملاحظات (أو القيام بملاحظة تعاونية).,3,أن يكون لديك دليل لتسهيل كل اجتماع، شخص لمراقبة الدردشة للأسئلة وتتبع قائمة المتحدثين، شخص للمساعدة في تدوين الملاحظات (أو القيام بملاحظات تعاونية).,3,القيام بدور قيادي لتسهيل كل اجتماع، وشخص لمراقبة الدردشة للأسئلة وتتبع قائمة المتحدثين، وشخص للمساعدة في تدوين الملاحظات (أو القيام بملاحظة تعاونية).,3,الحصول على دليل لتسهيل كل اجتماع ، شخص لمراقبة الدردشة للأسئلة وتتبع قائمة المتحدثين ، وشخص للمساعدة في تدوين الملاحظات (أو القيام بأخذ الملاحظات بشكل تعاوني).,4,قم بدور رائد في تيسير كل اجتماع، وشخص لمراقبة الدردشة من أجل الأسئلة وتتبع قائمة المتحدثين، وشخص للمساعدة في تدوين الملاحظات (أو القيام بالمشاركة في تدوين الملاحظات).,4,قم بدور رائد لتسهيل كل اجتماع، وشخص لمراقبة الدردشة من أجل الأسئلة وتتبع قائمة المتحدثين، وشخص للمساعدة في تدوين الملاحظات (أو القيام بالمشاركة في تدوين الملاحظات).,4
At least 12 sitting or former Iranian politicians and government officials had died from the disease by 17 March.,توفي ما لا يقل عن 12 من السياسيين والمسؤولين الحكوميين الإيرانيين الحاليين أو السابقين من المرض بحلول 17 مارس.,4,توفي ما لا يقل عن 12 من السياسيين والمسؤولين الحكوميين الإيرانيين الحاليين أو السابقين بسبب المرض بحلول 17 مارس.,4,وكان ما لا يقل عن 12 من السياسيين والمسؤولين الحكوميين الإيرانيين الحاضرين أو السابقين قد توفوا بسبب المرض بحلول 17 مارس.,4,توفي ما لا يقل عن 12 من السياسيين والمسؤولين الحكوميين الإيرانيين الحاليين أو السابقين بسبب المرض بحلول 17 مارس.,4,توفي ما لا يقل عن 12 من السياسيين والمسؤولين الحكوميين الإيرانيين الحاليين أو السابقين بسبب المرض بحلول 17 مارس.,4,توفي ما لا يقل عن 12 سياسيًا ومسؤولًا حكوميًا إيرانيًا أو سابقين من المرض بحلول 17 مارس.,3,توفي ما لا يقل عن 12 من السياسيين والمسؤولين الحكوميين الإيرانيين الحاليين أو السابقين من المرض بحلول 17 مارس.,4,توفي ما لا يقل عن 12 من السياسيين والمسؤولين الحكوميين الإيرانيين الحاليين أو السابقين من المرض بحلول 17 مارس.,4
"Stocks plunged again based on coronavirus fears, the largest fall being on 16 March.",انخفضت المخزونات مرة أخرى بناءً على مخاوف فيروس كورونا، وكان أكبر سقوط في 16 مارس.,3,انخفضت المخزونات مرة أخرى بناءً على مخاوف فيروس كورونا، وكان أكبر انخفاض في 16 مارس.,3,وتراجعت الأسهم مرة أخرى على أساس مخاوف من فيروس كورونا، وكان السقوط الأكبر في 16 مارس.,4,وتراجعت الأسهم مرة أخرى على أساس مخاوف من فيروس كورونا، وكان أكبر سقوط في 16 مارس.,4,وتراجعت الأسهم مرة أخرى على أساس مخاوف من فيروس كورونا، وكان أكبر سقوط في 16 مارس.,4,انخفضت الأسهم مرة أخرى على أساس مخاوف من فيروس كورونا، وكان أكبر سقوط في 16 مارس.,4,انخفضت الأسهم مرة أخرى على أساس مخاوف من فيروس كورونا، وكان أكبر سقوط في 16 مارس.,4,تراجعت الأسهم مرة أخرى بناءً على مخاوف فيروس كورونا، وكان أكبر سقوط في 16 مارس.,4
"Taiwan, which has been producing ten million masks per day since mid-March, required passengers on trains and intercity buses to wear face masks on 1 April.",تطلبت تايوان، التي تنتج عشرة ملايين قناع يوميا منذ منتصف آذار/مارس، من الركاب على القطارات والحافلات بين المدن ارتداء أقنعة الوجه في 1 نيسان/أبريل.,4,تطلب تايوان، التي تنتج عشرة ملايين قناع يوميا منذ منتصف آذار/مارس، من الركاب على القطارات والحافلات بين المدن ارتداء أقنعة الوجه في 1 نيسان/أبريل.,4,وكانت تايوان، التي تنتج عشرة ملايين قناع يومياً منذ منتصف آذار/مارس، تطلب من المسافرين في القطارات والحافلات بين المدن ارتداء أقنعة الوجه في 1 نيسان/أبريل.,4,وتطلب تايوان، التي تنتج عشرة ملايين قناع يومياً منذ منتصف آذار/مارس، من الركاب في القطارات والحافلات بين المدن ارتداء أقنعة الوجه في 1 نيسان/أبريل.,4,وكانت تايوان، التي تنتج عشرة ملايين قناع يوميا منذ منتصف آذار/مارس، تطلب من الركاب في القطارات والحافلات بين المدن ارتداء أقنعة الوجه في 1 نيسان/أبريل.,4,وكانت تايوان، التي تنتج عشرة ملايين قناع يومياً منذ منتصف مارس/آذار، تطلب من الركاب على القطارات والحافلات بين المدن ارتداء أقنعة الوجه في 1 أبريل/نيسان.,4,وكانت تايوان، التي تنتج عشرة ملايين قناع يوميا منذ منتصف آذار/مارس، تطلب من الركاب على القطارات والحافلات بين المدن ارتداء أقنعة الوجه في 1 نيسان/أبريل.,4,وكانت تايوان، التي تنتج عشرة ملايين قناع يوميا منذ منتصف آذار/مارس، تطلب من الركاب على القطارات والحافلات بين المدن ارتداء أقنعة الوجه في 1 نيسان/أبريل.,4
"In early March, the Italian government criticized the European Union's lack of solidarity with coronavirus-affected Italy.",في أوائل مارس، انتقدت الحكومة الإيطالية عدم تضامن الاتحاد الأوروبي مع إيطاليا المتضررة من فيروس كورونا.,4,في أوائل مارس، انتقدت الحكومة الإيطالية عدم تضامن الاتحاد الأوروبي مع إيطاليا المتضررة من فيروس كورونا.,4,في أوائل مارس، انتقدت الحكومة الإيطالية عدم تضامن الاتحاد الأوروبي مع إيطاليا المتضررة من فيروس كورونا.,4,في أوائل مارس، انتقدت الحكومة الإيطالية عدم تضامن الاتحاد الأوروبي مع إيطاليا المتضررة من فيروس كورونا.,4,في أوائل مارس، انتقدت الحكومة الإيطالية عدم تضامن الاتحاد الأوروبي مع إيطاليا المتضررة من فيروس كورونا.,4,في أوائل مارس، انتقدت الحكومة الإيطالية عدم تضامن الاتحاد الأوروبي مع إيطاليا المصابة بفيروس كورونا.,4,في أوائل مارس، انتقدت الحكومة الإيطالية عدم تضامن الاتحاد الأوروبي مع إيطاليا المتضررة من فيروس كورونا.,4,في أوائل مارس، انتقدت الحكومة الإيطالية عدم تضامن الاتحاد الأوروبي مع إيطاليا المتضررة من فيروس كورونا.,4
Like right in the center of the chest,مثل الحق في وسط الصدر,2,مثل الحق في وسط الصدر,2,مثل الحق في وسط الصدر,2,مثل الحق في وسط الصدر,2,مثل الحق في وسط الصدر,2,مثل الحق في وسط الصدر,2,مثل الحق في وسط الصدر,2,مثل الحق في وسط الصدر,2
"On one hand, the transmissibility of SARS-CoV-2 is at least as high as that of community-acquired HCoVs.",فمن جهة، لا تقل قابلية انتقال فيروس سارس-كوف-2 عن قابلية انتقال فيروس كورونا المستجد المكتسب لدى المجتمع.,4,فمن جهة، لا تقل قابلية انتقال فيروس سارس - CoV-2 عن قابلية انتقال فيروس كورونا المكتسب لدى المجتمعات المحلية.,4,فمن ناحية، لا تقل إمكانية انتقال سارس كوف-2 عن فيروسات كورونا البشرية المكتسبة من المجتمع.,4,فمن جهة، لا تقل إمكانية نقل سارس-كوف-2 عن إمكانية نقل فيروسات كورونا البشرية المكتسبة من المجتمع.,4,فمن ناحية، لا تقل إمكانية انتقال سارس-كوف-2 عن إمكانية انتقال فيروسات كورونا البشرية المكتسبة من المجتمع.,4,من ناحية، فإن قابلية انتقال فيروس سارس-كوف-2 على الأقل لا تقل عن إمكانية انتقال فيروس كورونا المكتسب من المجتمع.,4,فمن جهة، لا تقل قابلية انتقال فيروس سارس-كوف-2 عن قابلية انتقال فيروس كورونا المستجد المكتسب من المجتمع.,4,فمن جهة، لا تقل قابلية انتقال فيروس سارس-كوف-2 عن قابلية انتقال فيروس كورونا المستجد المكتسب من المجتمع.,4
"According to Dr Meerjady, two cases were aged above 60, two between 51 and 60, and one 41-50 years old.",ووفقاً للدكتور ميرجادي، كانت هناك حالتان تزيدان عن 60 عاماً، وحالتان بين 51 و60 عاماً، وحالة واحدة بين 41 و50 عاماً.,4,ووفقاً للدكتور ميرجادي، كانت هناك حالتان تزيد أعمارهما عن 60 سنة، وحالتان تتراوح أعمارهما بين 51 و60 سنة، وحالة واحدة تتراوح أعمارها بين 41 و50 سنة.,4,وبحسب الدكتور ميرجادي، فإن حالتين كانتا تزيدان من العمر عن 60 عامًا، وحالتين بين 51 و60 عامًا، وأخرى بين 41-50 عامًا.,4,ووفقًا للدكتور ميرجادي، كانت هناك حالتان تزيدان عن 60 عامًا، وحالتان بين 51 و60 عامًا، وحالة واحدة بين 41 و50 عامًا.,4,ووفقًا للدكتور ميرجادي، كانت هناك حالتان تزيد أعمارهما عن 60 عامًا، وحالتان بين 51 و60 عامًا، وحالة واحدة بين 41 و50 عامًا.,4,وبحسب الدكتور ميرجادي، كانت هناك حالتان تزيدان عن 60 عاماً، وحالتان بين 51 و60 عاماً، وحالة واحدة بين 41 و50 عاماً.,4,ووفقاً للدكتور ميرجادي، كانت هناك حالتان تزيدان عن 60 عاماً، وحالتان بين 51 و60 عاماً، وحالة واحدة بين 41 و50 عاماً.,4,ووفقاً للدكتور ميرجادي، كانت هناك حالتان تزيدان عن 60 عاماً، وحالتان بين 51 و60 عاماً، وحالة واحدة بين 41 و50 عاماً.,4
"Medical hand-washing is for a minimum of 15 seconds, using generous amounts of soap and water or gel to lather and rub each part of the hands.",غسل اليدين الطبي لمدة 15 ثانية على الأقل، باستخدام كميات سخية من الصابون والماء أو هلام إلى lather وفرك كل جزء من اليدين.,3,غسل اليدين الطبي لمدة لا تقل عن 15 ثانية، باستخدام كميات سخية من الصابون والماء أو الجل إلى الجلد وفرك كل جزء من اليدين.,3,الغسيل الطبي لليدين لمدة لا تقل عن 15 ثانية، وذلك باستخدام كميات سخية من الماء والصابون أو الجل إلى lather وفرك كل جزء من اليدين.,3,غسل اليدين الطبي لمدة 15 ثانية على الأقل، باستخدام كميات سخية من الصابون والماء أو الجل إلى lather وفرك كل جزء من اليدين.,3,غسل اليدين الطبي لمدة لا تقل عن 15 ثانية، باستخدام كميات سخية من الصابون والماء أو الجل إلى الجلد وفرك كل جزء من اليدين.,3,غسيل اليدين الطبي لمدة لا تقل عن 15 ثانية، باستخدام كميات سخية من الصابون والماء أو الجل للجلد وفرك كل جزء من اليدين.,3,غسل اليدين الطبي هو لمدة 15 ثانية على الأقل، باستخدام كميات سخية من الصابون والماء أو الجل إلى lather وفرك كل جزء من اليدين.,3,غسل اليدين الطبي لمدة لا تقل عن 15 ثانية، باستخدام كميات سخية من الصابون والماء أو الجل إلى الجلد وفرك كل جزء من اليدين.,3
"In contrast, 1,388 of 5,143 (27%) COVID-19 patients who were not hospitalized were reported to have at least one underlying health condition.",وعلى النقيض من ذلك، أفيد أن 1388 من أصل 5143 (27٪) من مرضى كوفيد-19 الذين لم يدخلوا المستشفى لديهم حالة صحية أساسية واحدة على الأقل.,4,على النقيض من ذلك، أفيد أن 1388 من أصل 5143 (27٪) من مرضى كوفيد-19 الذين لم يدخلوا المستشفى لديهم حالة صحية أساسية واحدة على الأقل.,4,"في المقابل، تم الإبلاغ عن إصابة 1,388 من أصل 5,143 (27%) مرضى كوفيد-19 الذين لم يتم نقلهم إلى المستشفى بحالة صحية كامنة واحدة على الأقل.",3,"في المقابل، تم الإبلاغ عن إصابة 1,388 من أصل 5,143 (27%) مرضى كوفيد-19 الذين لم يتم نقلهم إلى المستشفى بحالة صحية كامنة واحدة على الأقل.",3,"في المقابل، تم الإبلاغ عن إصابة 1,388 من أصل 5,143 (27%) مرضى كوفيد-19 الذين لم يتم نقلهم إلى المستشفى بحالة صحية أساسية واحدة على الأقل.",3,"في المقابل، تم الإبلاغ عن إصابة 1,388 من أصل 5,143 (27%) مرضى كوفيد-19 الذين لم يتم إدخالهم إلى المستشفى بحالة صحية أساسية واحدة على الأقل.",3,"في المقابل، تم الإبلاغ عن إصابة 1,388 من أصل 5,143 (27٪) من مرضى كوفيد-19 الذين لم يتم إدخالهم المستشفى بحالة صحية أساسية واحدة على الأقل.",3,"وعلى النقيض من ذلك، تم الإبلاغ عن إصابة 1,388 من أصل 5,143 (27٪) مرضى كوفيد-19 الذين لم يدخلوا المستشفى بحالة صحية أساسية واحدة على الأقل.",3
"Phase III trials typically involve more participants, including a control group, and test effectiveness of the vaccine to prevent the disease, while monitoring for adverse effects at the optimal dose.",وعادة ما تشمل تجارب المرحلة الثالثة المزيد من المشاركين، بما في ذلك مجموعة المكافحة، واختبار فعالية اللقاح للوقاية من المرض، مع رصد الآثار الضارة عند الجرعة المثلى.,4,وعادة ما تشمل تجارب المرحلة الثالثة المزيد من المشاركين، بما في ذلك مجموعة المكافحة، وفعالية اختبار اللقاح للوقاية من المرض، مع رصد الآثار الضارة عند الجرعة المثلى.,4,وتشمل تجارب المرحلة الثالثة عادةً المزيد من المشاركين، بما في ذلك مجموعة التحكم، واختبار فعالية اللقاح للوقاية من المرض، مع مراقبة الآثار السلبية بالجرعة المثلى.,4,وتشمل تجارب المرحلة الثالثة عادةً المزيد من المشاركين، بما في ذلك مجموعة التحكم، واختبار فعالية اللقاح للوقاية من المرض، مع مراقبة الآثار السلبية عند الجرعة المثلى.,4,وتشمل تجارب المرحلة الثالثة عادةً المزيد من المشاركين، بما في ذلك مجموعة التحكم، واختبار فعالية اللقاح للوقاية من المرض، مع مراقبة الآثار السلبية عند الجرعة المثلى.,4,تشمل تجارب المرحلة الثالثة عادةً المزيد من المشاركين، بما في ذلك مجموعة التحكم، واختبار فعالية اللقاح للوقاية من المرض، مع مراقبة الآثار الضارة عند الجرعة المثلى.,4,تجارب المرحلة الثالثة عادة ما تشمل المزيد من المشاركين، بما في ذلك مجموعة التحكم، واختبار فعالية اللقاح للوقاية من المرض، في حين رصد الآثار الضارة عند الجرعة المثلى.,4,وعادة ما تشمل تجارب المرحلة الثالثة المزيد من المشاركين، بما في ذلك مجموعة التحكم، واختبار فعالية اللقاح للوقاية من المرض، في حين رصد الآثار الضارة عند الجرعة المثلى.,4
"When it is no longer possible to contain the spread of the disease, efforts then move to the mitigation stage: measures are taken to slow the spread and mitigate its effects on the healthcare system and society.",وعندما لا يصبح من الممكن احتواء انتشار المرض، تنتقل الجهود بعد ذلك إلى مرحلة التخفيف: إذ تتخذ تدابير لإبطاء انتشار المرض والتخفيف من آثاره على نظام الرعاية الصحية والمجتمع.,4,وعندما لا يكون من الممكن احتواء انتشار المرض، تنتقل الجهود بعد ذلك إلى مرحلة التخفيف: إذ تتخذ تدابير لإبطاء انتشار المرض والتخفيف من آثاره على نظام الرعاية الصحية والمجتمع.,4,عندما لم يعد من الممكن احتواء انتشار المرض، تنتقل الجهود بعد ذلك إلى مرحلة التخفيف: يتم اتخاذ تدابير لإبطاء انتشاره وتخفيف آثاره على نظام الرعاية الصحية والمجتمع.,4,عندما لم يعد من الممكن احتواء انتشار المرض، تنتقل الجهود بعد ذلك إلى مرحلة التخفيف: يتم اتخاذ تدابير لإبطاء الانتشار وتخفيف آثاره على نظام الرعاية الصحية والمجتمع.,4,عندما لم يعد من الممكن احتواء انتشار المرض، تنتقل الجهود بعد ذلك إلى مرحلة التخفيف: يتم اتخاذ تدابير لإبطاء الانتشار وتخفيف آثاره على نظام الرعاية الصحية والمجتمع.,4,عندما لم يعد من الممكن احتواء انتشار المرض، تنتقل الجهود بعد ذلك إلى مرحلة التخفيف: يتم اتخاذ تدابير لإبطاء انتشار المرض والتخفيف من آثاره على نظام الرعاية الصحية والمجتمع.,4,عندما لم يعد من الممكن احتواء انتشار المرض، تنتقل الجهود بعد ذلك إلى مرحلة التخفيف: يتم اتخاذ تدابير لإبطاء الانتشار والتخفيف من آثاره على نظام الرعاية الصحية والمجتمع.,4,عندما لم يعد من الممكن احتواء انتشار المرض، تنتقل الجهود بعد ذلك إلى مرحلة التخفيف: يتم اتخاذ تدابير لإبطاء الانتشار والتخفيف من آثاره على نظام الرعاية الصحية والمجتمع.,4
"Fifth, no conclusions could be drawn about underlying conditions that were not included in the case report form or about different conditions that were reported in a single, umbrella category.",وخامساً، لم يتسن استخلاص أي استنتاجات بشأن الظروف الأساسية التي لم تدرج في استمارة تقرير الحالة أو بشأن ظروف مختلفة أُبلغ عنها في فئة جامعة واحدة.,3,وخامساً، لا يمكن استخلاص أي استنتاجات بشأن الظروف الأساسية التي لم تُدرج في استمارة تقرير الحالة أو بشأن مختلف الظروف التي أُبلغ عنها في فئة جامعة واحدة.,3,خامساً، لا يمكن استخلاص أي استنتاجات حول الحالات الكامنة التي لم يتم تضمينها في نموذج تقرير الحالة أو حول الحالات المختلفة التي تم الإبلاغ عنها في فئة واحدة، مظلة.,4,وخامساً، لم يتسن استخلاص أية استنتاجات بشأن الظروف الأساسية التي لم تدرج في نموذج تقرير الحالة أو بشأن الظروف المختلفة التي أبلغ عنها في فئة جامعة واحدة.,3,وخامساً، لا يمكن استخلاص أية استنتاجات بشأن الظروف الأساسية التي لم تدرج في نموذج تقرير الحالة أو بشأن الظروف المختلفة التي أبلغ عنها في فئة واحدة جامعة.,3,خامساً، لا يمكن استخلاص أي استنتاجات حول الظروف الأساسية التي لم تكن مدرجة في استمارة تقرير الحالة أو حول الظروف المختلفة التي تم الإبلاغ عنها في فئة مظلة واحدة.,3,وخامساً، لم يتسن استخلاص أية استنتاجات بشأن الظروف الأساسية التي لم تدرج في استمارة تقرير الحالة أو بشأن الظروف المختلفة التي أبلغ عنها في فئة جامعة واحدة.,3,وخامساً، لم يتسن استخلاص أي استنتاجات بشأن الظروف الأساسية التي لم تدرج في استمارة تقرير الحالة أو بشأن ظروف مختلفة أُبلغ عنها في فئة جامعة واحدة.,3
