Arabic,240k,Score,avg_8,Score,exp1_5000,Score,exp1_240,Score,exp1_avg8,Score,exp2_5000,Score,exp2_240,Score,exp2_avg8,Score
استخدمت روسيا تقنية التعرُّف على الوجه للكشف عن مخالفي الحجر الصحي.,Russia used facial recognition to detect quarantine offenders.,4,Russia used facial recognition to detect quarantine offenders.,4,Russia used facial recognition technology to detect quarantine violators.,4,Russia used facial recognition technology to detect quarantine offenders.,4,Russia used facial recognition technology to detect quarantine violators.,4,Russia used facial recognition technology to detect quarantine violators.,4,Russia used facial recognition technology to detect quarantine offenders.,4,Russia used facial recognition technology to detect quarantine violators.,4
ذكرت مديرة معهد علم الأوبئة ومكافحة الأمراض والبحوث، د. ميرجادي سابرينا فلورا، في مؤتمر صحفي عبر الإنترنت، أن حالات الوفاة شملت أربعة ذكور وأنثى واحدة.,"The Director of the Institute of Epidemiology, Disease Control and Research, Dr. Mirgadi Sabrina Flora, stated in an online press conference that the deaths involved four males and one female.",4,"The Director of the Institute of Epidemiology, Disease Control and Research, Dr. Mirgadi Sabrina Flora, stated in an online press conference that the deaths involved four males and one female.",4,"The Director of the Institute of Epidemiology, Disease Control and Research, Dr. Mirjady Sabrina Flora, stated in an online press conference that the deaths involved four males and one female.",4,"The Director of the Institute of Epidemiology, Disease Control and Research, Dr. Mirjady Sabrina Flora, stated in an online press conference that the deaths involved four males and one female.",4,"The Director of the Institute of Epidemiology, Disease Control and Research, Dr. Mirjady Sabrina Flora, stated in an online press conference that the deaths involved four males and one female.",4,"The Director of the Institute of Epidemiology, Disease Control and Research, Dr. Mirgadi Sabrina Flora, reported in an online press conference, that the deaths included four males and one female.",4,"The Director of the Institute of Epidemiology, Disease Control and Research, Dr. Mirgadi Sabrina Flora, stated in an online press conference that the deaths included four males and one female.",4,"The Director of the Institute of Epidemiology, Disease Control and Research, Dr. Mirgadi Sabrina Flora, stated in an online press conference that the deaths included four males and one female.",4
إذا كنت ترتدي قناعًا، فتأكد من استخدامه بشكل صحيح.,"If you're wearing a mask, make sure it's used properly.",4,"If you're wearing a mask, make sure you use it properly.",4,"If you wear a mask, make sure you use it properly.",4,"If you wear a mask, make sure you use it properly.",4,"If you wear a mask, make sure you use it properly.",4,"If you wear a mask, be sure to use it correctly.",4,"If you wear a mask, make sure you use it correctly.",4,"If you wear a mask, make sure you use it correctly.",4
الدليل حتى الآن هو أن 80% تقريبًا من الأفراد المصابين بكوفيد-19 يعانون مرضًا خفيفًا؛ أيْ يعانون عدوى الجهاز التنفسي مع أعراض أو دونها، ويتعافى معظم هؤلاء.,"The evidence so far is that approximately 80% of individuals with COVID-19 have mild disease; that is, they have respiratory infections with or without symptoms, and most of them are recovering.",3,"The evidence so far is that approximately 80% of individuals with COVID-19 have a mild disease; that is, they have a respiratory infection with or without symptoms, and most are recovering.",3,"The evidence to date is that approximately 80% of individuals with COVID-19 experience mild illness; that is, they experience respiratory infection with or without symptoms, and most of these recover.",4,"The evidence to date is that approximately 80% of individuals with COVID-19 experience mild illness; that is, they experience respiratory infection with or without symptoms, and most of these recover.",4,"The evidence to date is that approximately 80% of individuals with COVID-19 experience mild illness; that is, they experience respiratory infection with or without symptoms, and most of these recover.",4,"The evidence so far is that approximately 80% of individuals with COVID-19 experience mild illness; that is, have a respiratory infection with or without symptoms, and most of these recover.",4,"The evidence so far is that approximately 80% of individuals with COVID-19 have mild disease; that is, they have respiratory infection with or without symptoms, and most of these are recovering.",3,"The evidence so far is that approximately 80% of individuals with COVID-19 have mild illness; that is, they have a respiratory infection with or without symptoms, and most of these are recovering.",3
"زادت المبيعات ""زيادةً كبيرة"" في الأسبوع الماضي، وذلك وفقًا للمتحدث باسم متاجر وول ورثز.","Sales increased ""significantly"" last week, according to the Woolworths spokesman.",4,"Sales increased ""significantly"" last week, according to the spokesman for the Woolworths stores.",4,"Sales have increased ""significantly"" in the last week, according to Woolworths department store spokesperson.",4,"Sales have increased ""significantly"" in the past week, according to Woolworths shop spokesperson.",4,"Sales have increased ""significantly"" in the past week, according to Woolworths shop spokesperson.",4,"Sales increased ""very much"" last week, according to Woolworths' spokesman.",4,"Sales increased ""significantly"" last week, according to Woolworths' spokesman.",4,"Sales have increased ""significantly"" in the last week, according to Woolworths' spokesman.",4
لا يزال الانتشار الوبائي لكوفيد-19 ناشئًا.,COVID-19 pandemic is still emerging.,4,The COVID-19 pandemic is still emerging.,4,The epidemic spread of COVID-19 is still emerging.,4,The epidemiological spread of COVID-19 is still emerging.,4,The epidemic spread of COVID-19 is still emerging.,4,The pandemic spread of COVID-19 is still emerging.,4,The epidemiological spread of COVID-19 is still emerging.,4,The pandemic spread of COVID-19 is still emerging.,4
ينبغي المبادرة بتسهيل كل اجتماع، وأن يتولى شخص مراقبة المحادثة لمعرفة الأسئلة وتتبع قائمة المتحدثين، وشخص آخر للمساعدة على تدوين الملاحظات (أو تنفيذ عملية تدوين الملاحظات التعاوني).,"Each meeting should be facilitated on its own initiative, with one person observing the conversation to learn the questions and track the speakers &apos; list, and another to help take notes (or implement a collaborative note-taking exercise).",2,"Each meeting should be facilitated on its own initiative, with one person observing the conversation to learn the questions and track the speakers &apos; list, and another to assist in the taking of notes (or the implementation of collaborative taking of notes).",3,"Each meeting should be facilitated on a proactive basis, with one person monitoring the conversation to see questions and track the speakers’ list, and another to assist with the taking of notes (or the implementation of the collaborative taking of notes process).",3,"The facilitation of each meeting should be initiated, with one person monitoring the conversation to see questions and track the speakers &apos; list, and another to help take notes (or implement a collaborative note-taking exercise).",3,"The facilitation of each meeting should be initiated, with one person monitoring the conversation to see questions and track the speakers &apos; list, and another to help take notes (or implement a collaborative note-taking exercise).",3,"Each meeting should be facilitated on an initiative, with one person observing the conversation to learn the questions and track the speakers' list, and another to help take notes (or implement a collaborative feedback process).",2,"Each meeting should be facilitated on an initiative, with one person observing the conversation to learn the questions and track the speakers &apos; list, and another to help take notes (or implement a collaborative taking of notes).",3,"Each meeting should be facilitated on its own initiative, with one person observing the conversation to learn the questions and track the speakers &apos; list, and another to assist in taking notes (or implementing collaborative taking notes).",3
تُوفِّي بسبب المرض ما لا يقل عن 12 شخصًا من السياسيين الإيرانيين والمسؤولين الحكوميين الحاليين والسابقين بحلول 17 مارس.,At least 12 current and former Iranian politicians and government officials had died of the disease by 17 March.,4,At least 12 current and former Iranian politicians and government officials had died of the disease by 17 March.,4,At least 12 current and former Iranian politicians and government officials had died from the disease by 17 March.,4,At least 12 current and former Iranian politicians and government officials had died of the disease by 17 March.,4,At least 12 current and former Iranian politicians and government officials had died of the disease by 17 March.,4,At least 12 current and former Iranian politicians and government officials had died from the disease by 17 March.,4,At least 12 current and former Iranian politicians and government officials had died of the disease by 17 March.,4,At least 12 current and former Iranian politicians and government officials had died of the disease by 17 March.,4
تراجعت الأسهم مرة أخرى بسبب المخاوف من فيروس كورونا، وكان أكبر انخفاض في 16 مارس.,"Stock dropped again due to fears of coronavirus, the largest decline was on 16 March.",3,"Stock dropped again due to fears of coronavirus, the largest decline was on 16 March.",3,"Stocks plummeted again due to coronavirus concerns, and the largest decline was on March 16.",4,"Stocks plummeted again due to fears of coronavirus, and the largest decline was on March 16.",4,"The stock plummeted again due to coronavirus concerns, and the largest decline was on March 16.",3,"Stocks plummeted again due to concerns over the coronavirus, and the biggest drop was on March 16.",4,"Stocks plummeted again due to concerns about the coronavirus, the largest decline being on 16 March.",3,"Stocks plummeted again due to concerns about the coronavirus, the largest decline being on 16 March.",3
طالبت تايوان، التي تنتج عشرة ملايين قناع يوميًا منذ منتصف مارس، ركاب القطارات وحافلات النقل بين المدن بارتداء أقنعة في 1 أبريل.,"Taiwan, which has been producing ten million masks per day since mid-March, has demanded that rail passengers and intercity buses wear masks on 1 April.",3,"Taiwan, which has produced ten million masks per day since mid-March, demanded that passengers on inter-city trains and buses wear masks on 1 April.",3,"Taiwan, which has been producing ten million masks per day since mid-March, has demanded that rail passengers and inter-city buses wear masks on April 1.",3,"Taiwan, which has produced ten million masks per day since mid-March, demanded that rail passengers and inter-city buses wear masks on 1 April.",3,"Taiwan, which has produced ten million masks per day since mid-March, has demanded that rail passengers and inter-city buses wear masks on 1 April.",3,"Taiwan, which has been producing ten million masks per day since mid-March, has required passengers of trains and buses between cities to wear masks on April 1.",3,"Taiwan, which has been producing ten million masks per day since mid-March, has asked train passengers and inter-city buses to wear masks on April 1.",3,"Taiwan, which has been producing ten million masks per day since mid-March, has asked train passengers and inter-city buses to wear masks on April 1.",3
في أوائل مارس، انتقدت الحكومة الإيطالية افتقار الاتحاد الأوروبي للتضامن مع إيطاليا المتضررة من فيروس كورونا.,"In early March, the Italian government criticized the European Union's lack of solidarity with Italy affected by the coronavirus.",4,"In early March, the Italian government criticized the European Union's lack of solidarity with Italy affected by the coronavirus.",4,"In early March, the Italian government criticized the European Union's lack of solidarity with coronavirus-hit Italy.",4,"In early March, the Italian government criticized the European Union's lack of solidarity with a coronavirus-affected Italy.",4,"In early March, the Italian government criticized the European Union's lack of solidarity with a coronavirus-affected Italy.",4,"In early March, the Italian government criticized the European Union's lack of solidarity with Italy affected by the coronavirus.",4,"In early March, the Italian government criticized the European Union's lack of solidarity with Italy affected by the coronavirus.",4,"In early March, the Italian government criticized the European Union's lack of solidarity with Italy affected by the coronavirus.",4
كأنه في منتصف الصدر تمامًا,Like right in the middle of the chest.,3,Like right in the middle of the chest.,3,It's like right in the middle of the chest.,3,It's like right in the middle of the chest.,3,It's like right in the middle of the chest.,3,It's like it's right in the middle of the chest.,4,It's right in the middle of the chest.,3,It's right in the middle of the chest.,3
من ناحية، فإن قابلية انتقال سارس كوف-2 مرتفعة بما لا يقل عن قابلية انتقال فيروسات كورونا البشرية المكتسبة من المجتمع.,"On the one hand, the transmissibility of SARS-CoV-2 is at least as high as that of the acquired human coronavirus from society.",4,"On the one hand, SARS-CoV-2 transmission is as high as that of the acquired human coronavirus from society.",4,"On the one hand, the transmissibility of SARS-CoV-2 is as high as that of the community-acquired HCoVs.",4,"On the one hand, the transmissibility of SARS-CoV-2 is as high as that of the community-acquired HCoVs.",4,"On the one hand, the transmissibility of SARS-CoV-2 is at least as high as that of the community-acquired HCoVs.",4,"On the one hand, the transmissibility of SARS-CoV-2 is as high as that of the community-acquired human coronaviruses.",4,"On the one hand, the transmissibility of SARS-CoV-2 is as high as that of the community-acquired human coronaviruses.",4,"On the one hand, the transmissibility of SARS-CoV-2 is as high as that of human coronaviruses acquired from the community.",4
بحسب ما ذكرته د. ميرجادي، كانت هناك حالتان عمرهما فوق 60 عامًا، وحالتان بين 51 و60 عامًا، وحالة واحدة عمرها بين 41 و50 عامًا.,"According to Dr. Mirgadi, there were two cases aged over 60, two between 51 and 60, and one between 41 and 50.",4,"According to Dr. Mirgadi, there were two cases aged over 60, two between 51 and 60, and one between 41 and 50.",4,"According to Dr Meerjady, there were two cases aged over 60, two cases between 51 and 60, and one case aged between 41 and 50.",4,"According to Dr. Mirjady, there were two cases aged over 60, two cases between 51 and 60, and one case between 41 and 50.",4,"According to Dr. Mirjady, there were two cases aged over 60, two cases between 51 and 60, and one case between 41 and 50.",4,"According to Dr. Mirgadi, there were two cases aged over 60, two cases between 51 and 60, and one case aged between 41 and 50.",4,"According to Dr. Mirgadi, there were two cases aged over 60, two cases between 51 and 60, and one case between 41 and 50.",4,"According to Dr. Mirgadi, there were two cases aged over 60, two between 51 and 60, and one between 41 and 50.",4
غسل اليدين الطبي يكون لمدة لا تقل عن 15 ثانية، باستخدام كميات وفيرة من الصابون والماء أو الجل لصناعة رغوة وفرك كل جزء من اليدين.,"Medical hand washing is for at least 15 seconds, using abundant amounts of soap, water or gel to make foam and rubbing each part of the hands.",4,"Medical hand washing is for at least 15 seconds, using abundant amounts of soap and water or gel to make foam and scrub each part of the hands.",4,"Medical hand washing is for a minimum of 15 seconds, using ample amounts of soap and water or gel to make foam and scrub each part of the hands.",4,"Medical hand washing is for a minimum of 15 seconds, using abundant amounts of soap and water or gel to make foam and scrub each part of the hands.",4,"Medical hand washing is for a minimum of 15 seconds, using abundant amounts of soap and water or gel to make foam and scrub each part of the hands.",4,"Medical hand washing is for a minimum of 15 seconds, using abundant amounts of soap and water or gel to make foam and rub each part of the hands.",4,"Medical hand washing is for a minimum of 15 seconds, using abundant amounts of soap and water or gel to make foam and rub each part of the hands.",4,"Medical hand washing is for at least 15 seconds, using abundant amounts of soap and water or gel to make foam and rub each part of the hands.",4
"على العكس، تم الإبلاغ عن أن 1,388 من 5,143 (27%) مريضًا بكوفيد-19 ممن لم يدخلوا المستشفى عانوا حالة صحية كامنة واحدة على الأقل.","In contrast, 1,388 of the 5,143 (27%) COVID-19 patients who were not hospitalized were reported to have suffered at least one underlying health condition.",4,"Conversely, 1,388 of the 5,143 (27%) patients with COVID-19 who were not hospitalized were reported to have suffered at least one underlying health condition.",4,"On the contrary, of the 5,143 (27%) COVID-19 patients who were not hospitalized, 1,388 experienced at least one underlying health condition.",4,"On the contrary, 1,388 of 5,143 (27%) COVID-19 patients who were not hospitalized were reported to have suffered at least one underlying health condition.",4,"On the contrary, 1,388 of the 5,143 (27%) COVID-19 patients who were not hospitalized were reported to have suffered at least one underlying health condition.",4,"Conversely, 1,388 of 5,143 (27%) COVID-19 patients who were not hospitalized were reported to have experienced at least one underlying health condition.",4,"Conversely, 1,388 of 5,143 (27%) COVID-19 patients who were not hospitalized were reported to have experienced at least one underlying health condition.",4,"Conversely, 1,388 of 5,143 (27%) COVID-19 patients who were not hospitalized were reported to have experienced at least one underlying health condition.",4
تشمل تجارب المرحلة الثالثة عادةً عددًا أكبر من المشاركين، بمن فيهم المجموعة المرجعية، واختبارًا لفاعلية اللقاح للوقاية من المرض، مع مراقبة التأثيرات السلبية للجرعة المثلى.,"Phase III trials typically include a larger number of participants, including the reference group, and a vaccine effectiveness test to prevent the disease, while monitoring the adverse effects of the optimal dose.",4,"Phase III trials typically involve a larger number of participants, including the reference group, and a vaccine efficacy test to prevent the disease, with the adverse effects of the optimal dose monitored.",4,"Phase III trials typically involve a greater number of participants, including the reference group, and a test of the vaccine's effectiveness for the prevention of the disease, with monitoring of the adverse effects of the optimal dose.",3,"Phase III trials typically involve a larger number of participants, including the reference group, and a test of vaccine efficacy to prevent the disease, with monitoring of the adverse effects of the optimal dose.",4,"Phase III trials typically involve a larger number of participants, including the reference group, and a test of vaccine efficacy to prevent the disease, with the adverse effects of the optimal dose being monitored.",4,"Phase III trials typically include a greater number of participants, including the reference group, and a test of vaccine efficacy to prevent the disease, with monitoring of the adverse effects of the optimal dose.",4,"Phase III trials typically include a larger number of participants, including the reference group, and a test of vaccine efficacy to prevent the disease, while observing the adverse effects of the optimal dose.",4,"Phase III trials typically involve a larger number of participants, including the reference group, and a test of vaccine efficacy to prevent the disease, with monitoring of the adverse effects of the optimal dose.",4
عندما يصبح احتواء انتشار المرض غير ممكن، تُوجَّه الجهود بعد ذلك إلى مرحلة التخفيف: تُتخذ التدابير لإبطاء الانتشار وتخفيف تأثيراته في نظام الرعاية الصحية والمجتمع.,"When the spread of the disease is no longer contained, efforts are then directed to the mitigation stage: measures are taken to slow the spread and mitigate its effects on the health-care system and society.",4,"When the spread of the disease cannot be contained, efforts are then directed to the mitigation stage: measures are taken to slow the spread and mitigate its effects on the health-care system and society.",4,"When the spread of disease becomes contained, efforts are then directed to the mitigation phase: Measures are taken to slow the spread and mitigate its effects in the health care system and society.",4,"When the spread of the disease becomes unmanageable, efforts are then directed to the mitigation stage: measures are taken to slow the spread and mitigate its effects in the health care system and society.",4,"When the spread of the disease becomes unmanageable, efforts are then directed to the mitigation stage: measures are taken to slow the spread and mitigate its effects in the health care system and society.",4,"When the spread of a disease cannot be contained, efforts are then directed to the mitigation stage: Measures are taken to slow the spread and mitigate its effects in the healthcare system and society.",4,"When the spread of the disease cannot be contained, efforts are then directed to the mitigation stage: measures are taken to slow the spread and mitigate its effects in the healthcare system and society.",4,"When the spread of the disease cannot be contained, efforts are then directed to the mitigation stage: measures are taken to slow the spread and mitigate its effects in the health care system and society.",4
خامسًا، لا يمكن استخلاص استنتاجات حول الحالات الكامنة التي لم يتم تضمينها في نموذج تقرير الحالة أو الحالات المختلفة المبلَّغ عنها في فئة واحدة شاملة.,"Fifth, it is not possible to draw conclusions about underlying cases that have not been included in the case report template or the various cases reported in one comprehensive category.",4,"Fifth, it is not possible to draw conclusions about underlying cases that have not been included in the case report form or the various reported cases in one comprehensive category.",4,"Fifth, it is not possible to draw conclusions about the underlying conditions that were not included in the case report form or the different reported conditions in a single overall category.",4,"Fifth, it is not possible to draw conclusions about underlying cases that have not been included in the case report form or the various reported cases in one comprehensive category.",4,"Fifth, it is not possible to draw conclusions about underlying cases that have not been included in the case report form or the various reported cases in one comprehensive category.",4,"Fifth, it is not possible to draw conclusions about latent cases that were not included in the case report form or the different cases reported in a single, comprehensive category.",4,"Fifth, it is not possible to draw conclusions about latent cases that were not included in the case report form or the different cases reported in one comprehensive category.",4,"Fifth, it is not possible to draw conclusions about latent cases that were not included in the case report form or the different cases reported in one comprehensive category.",4
أنشأت بعض المنظمات تطبيقات لحشد المعلومات للمراقبة المتزامنة، حيث يمكن للناس الإبلاغ عن أعراضهم لمساعدة الباحثين على تحديد المناطق التي بها تركيز لأعراض كوفيد-19.,"Some organizations have created applications to mobilize information for simultaneous surveillance, where people can report their symptoms to help researchers identify areas with a concentration of COVID-19 symptoms.",4,"Some organizations have created applications to mobilize information for simultaneous surveillance, where people can report their symptoms to help researchers identify areas with a concentration of COVID-19 symptoms.",4,"Some organizations have created apps to mobilise information for concurrent surveillance, where people can report their symptoms to help researchers identify areas with a focus for COVID-19 symptoms.",4,"Some organizations have created applications to mobilize information for concurrent surveillance, where people can report their symptoms to help researchers identify areas with a focus for COVID-19 symptoms.",4,"Some organizations have created applications to mobilize information for simultaneous surveillance, where people can report their symptoms to help researchers identify areas with a focus for COVID-19 symptoms.",4,"Some organizations have created apps to mobilize information for concurrent surveillance, where people can report their symptoms to help researchers identify areas with a focus for COVID-19 symptoms.",4,"Some organizations have created applications to mobilize information for concurrent surveillance, where people can report their symptoms to help researchers identify areas with a focus for COVID-19 symptoms.",4,"Some organizations have created applications to mobilize information for simultaneous surveillance, where people can report their symptoms to help researchers identify areas with a concentration of COVID-19 symptoms.",4
في مضيف يكون مثل وعاء مزج، يحدث تبديل التسلسل بشكل متكرر خلال نسخ الحمض النووي الريبوزي لفيروس كورونا.,"In a host such as a mixing bowl, sequence switching occurs frequently during transcription of the RNA of the coronavirus.",4,"In a host that is like a mixing vessel, sequence switching occurs frequently during the transcription of the RNA of the coronavirus.",3,"In a host that is like a mixing vessel, sequence switching occurs frequently during CoV RNA replication.",3,"In a host that is like a mixing bowl, sequence switching occurs frequently during the transcription of coronavirus RNA.",4,"In a host that is like a mixing vessel, sequence switching occurs frequently during the transcription of coronavirus RNA.",3,"In a host that is like a mixing bowl, sequence switching occurs frequently during the transcription of coronavirus RNA.",4,"In a host that is like a mixing bowl, sequence switching occurs frequently during the transcription of coronavirus RNA.",4,"In a host that is like a mixing bowl, sequence switching occurs frequently during the transcription of coronavirus RNA.",4
,,174,,181,,187,,191,,190,,189,,186,,187
