English,105k,Score,avg_8,Score,exp1_5000,Score,exp1_105,Score,exp1_avg8,Score,exp2_500,Score,exp2-500_105,Score,exp2-500_avg8,Score
"The Committee is of the view that, in the interest of enabling a thorough discussion of this issue, reporting on peacekeeping procurement should include details of categories of goods and services, value, source of supply and other relevant aspects of procurement at both Headquarters and field mission levels.",وترى اللجنة أنه من أجل التمكين من إجراء مناقشة شاملة لهذه المسألة، ينبغي أن يتضمن الإبلاغ عن مشتريات حفظ السلام تفاصيل عن فئات السلع والخدمات، والقيمة، ومصدر الإمداد، وغير ذلك من الجوانب ذات الصلة بالمشتريات على صعيدي المقر والبعثات الميدانية.,4,وترى اللجنة أنه من أجل التمكين من إجراء مناقشة مستفيضة لهذه المسألة، ينبغي أن يشمل الإبلاغ عن مشتريات حفظ السلام تفاصيل فئات السلع والخدمات، والقيمة، ومصدر الإمداد، وغير ذلك من الجوانب ذات الصلة بالمشتريات على صعيدي المقر والبعثات الميدانية.,4,وترى اللجنة أنه من أجل التمكن من إجراء مناقشة مستفيضة لهذه المسألة، ينبغي أن يتضمن الإبلاغ عن مشتريات حفظ السلام تفاصيل عن فئات السلع والخدمات، والقيمة، ومصدر الإمداد، وغير ذلك من الجوانب ذات الصلة من المشتريات على صعيدي المقر والبعثات الميدانية.,4,وترى اللجنة أنه من أجل التمكين من إجراء مناقشة مستفيضة لهذه المسألة، ينبغي أن يشمل الإبلاغ عن مشتريات حفظ السلام تفاصيل فئات السلع والخدمات، والقيمة، ومصدر الإمداد، وغير ذلك من الجوانب ذات الصلة من المشتريات على صعيدي المقر والبعثات الميدانية.,4,وترى اللجنة أنه من أجل التمكين من إجراء مناقشة مستفيضة لهذه المسألة، ينبغي أن يشمل الإبلاغ عن مشتريات حفظ السلام تفاصيل فئات السلع والخدمات، والقيمة، ومصدر الإمداد، وغير ذلك من الجوانب ذات الصلة بالمشتريات على صعيدي المقر والبعثات الميدانية.,4,وترى اللجنة أنه من أجل التمكين من إجراء مناقشة شاملة لهذه المسألة، ينبغي أن يتضمن الإبلاغ عن مشتريات حفظ السلام تفاصيل عن فئات السلع والخدمات، والقيمة، ومصدر الإمداد، والجوانب الأخرى ذات الصلة من المشتريات على مستوى المقر والبعثات الميدانية على حد سواء.,4,وترى اللجنة أنه من أجل التمكين من إجراء مناقشة شاملة لهذه المسألة، ينبغي أن يتضمن الإبلاغ عن مشتريات حفظ السلام تفاصيل عن فئات السلع والخدمات، والقيمة، ومصدر الإمداد، وغير ذلك من الجوانب ذات الصلة بالمشتريات على صعيدي المقر والبعثات الميدانية.,4,وترى اللجنة أنه من أجل التمكين من إجراء مناقشة شاملة لهذه المسألة، ينبغي أن يشمل الإبلاغ عن مشتريات حفظ السلام تفاصيل فئات السلع والخدمات، والقيمة، ومصدر الإمداد، وغير ذلك من الجوانب ذات الصلة بالمشتريات على صعيدي المقر والبعثات الميدانية.,4
"The international community is still awaiting the creation of an Arab State, good neighbourly and friendly towards the State of Israel, in conformity with the Partition Plan approved by the General Assembly on 29 November 1947.",ولا يزال المجتمع الدولي ينتظر إنشاء دولة عربية وحسن جوار وصديقة لدولة إسرائيل، وفقا لخطة التقسيم التي أقرتها الجمعية العامة في 29 تشرين الثاني/نوفمبر 1947.,4,ولا يزال المجتمع الدولي ينتظر إنشاء دولة عربية وحسن جوار وصديقة لدولة إسرائيل، وفقا لخطة التقسيم التي أقرتها الجمعية العامة في 29 تشرين الثاني/نوفمبر 1947.,4,ولا يزال المجتمع الدولي ينتظر إنشاء دولة عربية وحسن جوار وصديقة لدولة إسرائيل، وفقا لخطة التقسيم التي اعتمدتها الجمعية العامة في ٢٩ تشرين الثاني/نوفمبر ١٩٤٧.,4,ولا يزال المجتمع الدولي ينتظر إنشاء دولة عربية وحسن جوار وصديقة لدولة إسرائيل، وفقا لخطة التقسيم التي أقرتها الجمعية العامة في 29 تشرين الثاني/نوفمبر 1947.,4,ولا يزال المجتمع الدولي ينتظر إنشاء دولة عربية وحسن جوار وصديقة لدولة إسرائيل، وفقا لخطة التقسيم التي أقرتها الجمعية العامة في 29 تشرين الثاني/نوفمبر 1947.,4,ولا يزال المجتمع الدولي ينتظر إقامة دولة عربية وحسن جوار وودية تجاه دولة إسرائيل، وفقا لخطة التقسيم التي أقرتها الجمعية العامة في 29 تشرين الثاني/نوفمبر 1947.,4,ولا يزال المجتمع الدولي ينتظر إنشاء دولة عربية وحسن جوار وودية تجاه دولة إسرائيل، وفقا لخطة التقسيم التي أقرتها الجمعية العامة في 29 تشرين الثاني/نوفمبر 1947.,4,ولا يزال المجتمع الدولي ينتظر إنشاء دولة عربية وحسن جوار وصديقة لدولة إسرائيل، وفقا لخطة التقسيم التي أقرتها الجمعية العامة في 29 تشرين الثاني/نوفمبر 1947.,4
He shared the concern of many members of the Committee about the need to give higher priority to resources for development.,وأعرب عن مشاطرته القلق الذي أعرب عنه العديد من أعضاء اللجنة بشأن ضرورة إيلاء أولوية أعلى للموارد من أجل التنمية.,4,وأعرب عن مشاطرته القلق الذي أعرب عنه العديد من أعضاء اللجنة بشأن ضرورة إيلاء أولوية أعلى للموارد المخصصة للتنمية.,4,وقال إنه يشاطر العديد من أعضاء اللجنة القلق بشأن الحاجة إلى إعطاء أولوية أعلى للموارد المخصصة للتنمية.,4,وأعرب عن مشاطرته القلق الذي أعرب عنه العديد من أعضاء اللجنة بشأن الحاجة إلى إعطاء أولوية أعلى للموارد المخصصة للتنمية.,4,وقال إنه يشاطر العديد من أعضاء اللجنة قلقهم إزاء الحاجة إلى إعطاء أولوية أعلى للموارد المخصصة للتنمية.,4,وأعرب عن مشاطرته القلق الذي أعرب عنه العديد من أعضاء اللجنة بشأن ضرورة إيلاء أولوية أعلى للموارد المخصصة للتنمية.,4,وأعرب عن مشاطرته القلق الذي أعرب عنه العديد من أعضاء اللجنة بشأن ضرورة إيلاء أولوية أعلى للموارد من أجل التنمية.,4,وأعرب عن مشاطرته القلق الذي أعرب عنه العديد من أعضاء اللجنة بشأن ضرورة إيلاء أولوية أعلى للموارد المخصصة للتنمية.,4
"The law grants amnesty for acts of insurgency, acts of war, and political offences committed in the territory of the Democratic Republic of the Congo between 18 February 2006 and 20 December 2013.",ويمنح القانون العفو عن أعمال التمرد وأعمال الحرب والجرائم السياسية المرتكبة في أراضي جمهورية الكونغو الديمقراطية بين 18 شباط/فبراير 2006 و 20 كانون الأول/ديسمبر 2013.,4,ويمنح القانون العفو عن أعمال التمرد وأعمال الحرب والجرائم السياسية المرتكبة في أراضي جمهورية الكونغو الديمقراطية في الفترة من 18 شباط/فبراير 2006 إلى 20 كانون الأول/ديسمبر 2013.,4,ويمنح القانون العفو عن أعمال التمرد وأعمال الحرب والجرائم السياسية المرتكبة في أراضي جمهورية الكونغو الديمقراطية في الفترة من 18 شباط/فبراير 2006 إلى 20 كانون الأول/ديسمبر 2013.,4,ويمنح القانون العفو عن أعمال التمرد وأعمال الحرب والجرائم السياسية المرتكبة في أراضي جمهورية الكونغو الديمقراطية في الفترة من 18 شباط/فبراير 2006 إلى 20 كانون الأول/ديسمبر 2013.,4,ويمنح القانون العفو عن أعمال التمرد وأعمال الحرب والجرائم السياسية المرتكبة في أراضي جمهورية الكونغو الديمقراطية في الفترة من 18 شباط/فبراير 2006 إلى 20 كانون الأول/ديسمبر 2013.,4,ويمنح القانون العفو عن أعمال التمرد وأعمال الحرب والجرائم السياسية المرتكبة في أراضي جمهورية الكونغو الديمقراطية في الفترة من 18 شباط/فبراير 2006 إلى 20 كانون الأول/ديسمبر 2013.,4,ويمنح القانون العفو عن أعمال التمرد وأعمال الحرب والجرائم السياسية المرتكبة في أراضي جمهورية الكونغو الديمقراطية في الفترة من 18 شباط/فبراير 2006 إلى 20 كانون الأول/ديسمبر 2013.,4,ويمنح القانون العفو عن أعمال التمرد وأعمال الحرب والجرائم السياسية المرتكبة في أراضي جمهورية الكونغو الديمقراطية في الفترة من 18 شباط/فبراير 2006 إلى 20 كانون الأول/ديسمبر 2013.,4
"I am expecting a super important phone call, so nobody use the phone.",أنا أتوقع مكالمة مهمة للغاية لذا لا أحد يستخدم الهاتف,4,أنا أتوقع مكالمة هاتفية فائقة الأهمية، لذلك لا أحد استخدام الهاتف.,3,أنا أتوقع مكالمة هاتفية مهمة للغاية، لذلك لا أحد استخدام الهاتف.,3,أنا أتوقع مكالمة مهمة جداً لذا لا أحد يستخدم الهاتف,4,أنا أتوقع مكالمة هاتفية فائقة الأهمية، لذلك لا أحد استخدام الهاتف.,3,أنا أتوقع مكالمة مهمة جداً لذا لا أحد يستخدم الهاتف,4,أنا أتوقع مكالمة مهمة للغاية لذا لا أحد يستخدم الهاتف,4,أنا أتوقع مكالمة مهمة جداً لذا لا أحد يستخدم الهاتف,4
66. Rations management in field missions continues to be challenged by the complexities and hazards associated with the preparation and distribution of food as well as the fluidity of the peacekeeping environment.,66 - ولا تزال إدارة حصص الإعاشة في البعثات الميدانية تواجه تحديات تتمثل في التعقيدات والمخاطر المرتبطة بإعداد الأغذية وتوزيعها، فضلا عن تقلب بيئة حفظ السلام.,4,66 - ولا تزال إدارة حصص الإعاشة في البعثات الميدانية تواجه تحديات بسبب التعقيدات والمخاطر المرتبطة بإعداد الأغذية وتوزيعها، فضلا عن تقلب بيئة حفظ السلام.,4,66 - ولا تزال إدارة حصص الإعاشة في البعثات الميدانية تواجه تحديات بسبب التعقيدات والأخطار المرتبطة بإعداد الأغذية وتوزيعها، فضلا عن سيولة بيئة حفظ السلام.,3,66 - ولا تزال إدارة حصص الإعاشة في البعثات الميدانية تواجه تحديات بسبب التعقيدات والمخاطر المرتبطة بإعداد الأغذية وتوزيعها، فضلا عن تقلب بيئة حفظ السلام.,4,66 - ولا تزال إدارة حصص الإعاشة في البعثات الميدانية تواجه تحديات بسبب التعقيدات والمخاطر المرتبطة بإعداد الأغذية وتوزيعها، فضلا عن تقلب بيئة حفظ السلام.,4,66 - ولا تزال إدارة حصص الإعاشة في البعثات الميدانية تواجه تحديات تتمثل في التعقيدات والمخاطر المرتبطة بإعداد الأغذية وتوزيعها، فضلا عن تقلب بيئة حفظ السلام.,4,66 - ولا تزال إدارة حصص الإعاشة في البعثات الميدانية تواجه تحديات تتمثل في التعقيدات والمخاطر المرتبطة بإعداد الأغذية وتوزيعها، فضلا عن تقلب بيئة حفظ السلام.,4,66 - ولا تزال إدارة حصص الإعاشة في البعثات الميدانية تواجه تحديات بسبب التعقيدات والمخاطر المرتبطة بإعداد الأغذية وتوزيعها، فضلا عن تقلب بيئة حفظ السلام.,4
The Committee therefore concludes that no effective remedies were available to the author.,ولذلك تخلص اللجنة إلى أنه لم تكن هناك سبل انتصاف فعالة متاحة لصاحب البلاغ.,4,ولذلك تخلص اللجنة إلى أنه لم تكن هناك سبل انتصاف فعالة متاحة لصاحب البلاغ.,4,ولذلك تخلص اللجنة إلى أنه لم تكن هناك سبل انتصاف فعالة متاحة لصاحب البلاغ.,4,ولذلك تخلص اللجنة إلى أنه لم تكن هناك سبل انتصاف فعالة متاحة لصاحب البلاغ.,4,ولذلك تخلص اللجنة إلى أنه لم تكن هناك سبل انتصاف فعالة متاحة لصاحب البلاغ.,4,ولذلك تخلص اللجنة إلى أنه لم تكن هناك سبل انتصاف فعالة متاحة لصاحب البلاغ.,4,ولذلك تخلص اللجنة إلى أنه لم تكن هناك سبل انتصاف فعالة متاحة لصاحب البلاغ.,4,ولذلك تخلص اللجنة إلى أنه لم تكن هناك سبل انتصاف فعالة متاحة لصاحب البلاغ.,4
Several steps were taken towards revising the guidelines to Member States seeking electoral assistance.,واتخذت عدة خطوات نحو تنقيح المبادئ التوجيهية للدول الأعضاء التي تلتمس المساعدة الانتخابية.,4,واتخذت عدة خطوات نحو تنقيح المبادئ التوجيهية للدول الأعضاء التي تلتمس المساعدة الانتخابية.,4,وقد اتخذت عدة خطوات من أجل تنقيح المبادئ التوجيهية للدول الأعضاء التي تلتمس المساعدة الانتخابية.,4,واتخذت عدة خطوات نحو تنقيح المبادئ التوجيهية للدول الأعضاء التي تلتمس المساعدة الانتخابية.,4,واتخذت عدة خطوات نحو تنقيح المبادئ التوجيهية للدول الأعضاء التي تلتمس المساعدة الانتخابية.,4,واتخذت عدة خطوات نحو تنقيح المبادئ التوجيهية للدول الأعضاء التي تلتمس المساعدة الانتخابية.,4,واتخذت عدة خطوات نحو تنقيح المبادئ التوجيهية للدول الأعضاء التي تلتمس المساعدة الانتخابية.,4,واتخذت عدة خطوات نحو تنقيح المبادئ التوجيهية للدول الأعضاء التي تلتمس المساعدة الانتخابية.,4
"On the recommendation of the Advisory Committee, the General Assembly, by its resolution 58/261 A of 23 December 2003, appropriated to the Special Account for the United Nations Mission in Liberia the amount of $564,494,300 for the period from 1 August 2003 to 30 June 2004.",2 - وبناء على توصية اللجنة الاستشارية، اعتمدت الجمعية العامة، بموجب قرارها 58/261 ألف المؤرخ 23 كانون الأول/ديسمبر 2003، للحساب الخاص لبعثة الأمم المتحدة في ليبريا مبلغا قدره 300 494 564 دولار للفترة من 1 آب/أغسطس 2003 إلى 30 حزيران/يونيه 2004.,4,2 - وبناء على توصية اللجنة الاستشارية، اعتمدت الجمعية العامة، بموجب قرارها 58/261 ألف المؤرخ 23 كانون الأول/ديسمبر 2003، للحساب الخاص لبعثة الأمم المتحدة في ليبريا مبلغا قدره 300 494 564 دولار للفترة من 1 آب/أغسطس 2003 إلى 30 حزيران/يونيه 2004.,4,2 - وبناء على توصية اللجنة الاستشارية، رصدت الجمعية العامة في قرارها 58/261 ألف المؤرخ 23 كانون الأول/ديسمبر 2003 للحساب الخاص لبعثة الأمم المتحدة في ليبريا مبلغا قدره 300 494 564 دولار للفترة من 1 آب/أغسطس 2003 إلى 30 حزيران/يونيه 2004.,4,2 - وبناء على توصية اللجنة الاستشارية، اعتمدت الجمعية العامة، بموجب قرارها 58/261 ألف المؤرخ 23 كانون الأول/ديسمبر 2003، للحساب الخاص لبعثة الأمم المتحدة في ليبريا مبلغا قدره 300 494 564 دولار للفترة من 1 آب/أغسطس 2003 إلى 30 حزيران/يونيه 2004.,4,2 - وبناء على توصية اللجنة الاستشارية، اعتمدت الجمعية العامة، بموجب قرارها 58/261 ألف المؤرخ 23 كانون الأول/ديسمبر 2003، للحساب الخاص لبعثة الأمم المتحدة في ليبريا مبلغا قدره 300 494 564 دولار للفترة من 1 آب/أغسطس 2003 إلى 30 حزيران/يونيه 2004.,4,2 - وبناء على توصية اللجنة الاستشارية، اعتمدت الجمعية العامة، بموجب قرارها 58/261 ألف المؤرخ 23 كانون الأول/ديسمبر 2003، للحساب الخاص لبعثة الأمم المتحدة في ليبريا مبلغا قدره 300 494 564 دولار للفترة من 1 آب/أغسطس 2003 إلى 30 حزيران/يونيه 2004.,4,2 - وبناء على توصية اللجنة الاستشارية، اعتمدت الجمعية العامة، بموجب قرارها 58/261 ألف المؤرخ 23 كانون الأول/ديسمبر 2003، للحساب الخاص لبعثة الأمم المتحدة في ليبريا مبلغا قدره 300 494 564 دولار للفترة من 1 آب/أغسطس 2003 إلى 30 حزيران/يونيه 2004.,4,2 - وبناء على توصية اللجنة الاستشارية، اعتمدت الجمعية العامة، بموجب قرارها 58/261 ألف المؤرخ 23 كانون الأول/ديسمبر 2003، للحساب الخاص لبعثة الأمم المتحدة في ليبريا مبلغا قدره 300 494 564 دولار للفترة من 1 آب/أغسطس 2003 إلى 30 حزيران/يونيه 2004.,4
"Against that backdrop, I have two questions for the Minister.",وإزاء هذه الخلفية، لدي سؤالان للوزير.,4,وإزاء هذه الخلفية، لدي سؤالان للوزير.,4,وعلى خلفية ذلك، لدي سؤالان للوزير.,4,وإزاء هذه الخلفية، لدي سؤالان للوزير.,4,وإزاء هذه الخلفية، لدي سؤالان للوزير.,4,في ظل هذه الخلفية، لدي سؤالين للوزير.,4,وإزاء هذه الخلفية، لدي سؤالان للوزير.,4,وإزاء هذه الخلفية، لدي سؤالان للوزير.,4
"Adoption of the laws such as Law on Employment Support, Law on Sending work force abroad and Receiving work force and specialists from abroad, and National Program on Employment Support in 2001 and Social Security Strategy Paper in 2003 was the important step in creating favorable legal environment to support employment of women and prevent them from the discrimination against employment.",وكان اعتماد قوانين مثل قانون دعم العمالة، وقانون إرسال قوة العمل إلى الخارج واستلام قوة العمل والمتخصصين من الخارج، والبرنامج الوطني لدعم العمالة في عام 2001، وورقة استراتيجية الضمان الاجتماعي في عام 2003، خطوة هامة في تهيئة بيئة قانونية مواتية لدعم توظيف المرأة ومنع التمييز ضدها.,3,وكان اعتماد قوانين مثل قانون دعم العمالة، وقانون إرسال قوة عاملة إلى الخارج واستلام قوة عاملة وأخصائيين من الخارج، والبرنامج الوطني لدعم العمالة في عام 2001 وورقة استراتيجية الضمان الاجتماعي في عام 2003، خطوة هامة في تهيئة بيئة قانونية مواتية لدعم عمالة المرأة ومنع التمييز ضدها.,4,وكان اعتماد قوانين مثل قانون دعم العمالة، وقانون إرسال قوة العمل إلى الخارج واستلام قوة العمل والمتخصصين من الخارج، والبرنامج الوطني لدعم العمالة في عام 2001، وورقة استراتيجية الضمان الاجتماعي في عام 2003، خطوة هامة في تهيئة بيئة قانونية مواتية لدعم عمالة المرأة ومنعها من التمييز ضد العمالة.,3,وكان اعتماد قوانين مثل قانون دعم العمالة، وقانون إرسال قوة العمل إلى الخارج واستلام قوة العمل والمتخصصين من الخارج، والبرنامج الوطني لدعم العمالة في عام 2001، وورقة استراتيجية الضمان الاجتماعي في عام 2003، خطوة هامة في تهيئة بيئة قانونية مواتية لدعم عمالة المرأة ومنعها من التمييز ضد العمالة.,3,وكان اعتماد قوانين مثل قانون دعم العمالة، وقانون إرسال قوة العمل إلى الخارج واستلام قوة العمل والمتخصصين من الخارج، والبرنامج الوطني لدعم العمالة في عام 2001 وورقة استراتيجية الضمان الاجتماعي في عام 2003، خطوة هامة في تهيئة بيئة قانونية مواتية لدعم عمالة المرأة ومنعها من التمييز ضد العمالة.,3,وكان اعتماد قوانين مثل قانون دعم العمالة، وقانون إرسال قوة العمل إلى الخارج واستقبال قوة العمل والمتخصصين من الخارج، والبرنامج الوطني لدعم العمالة في عام 2001، وورقة استراتيجية الضمان الاجتماعي في عام 2003، خطوة هامة في تهيئة بيئة قانونية مواتية لدعم توظيف المرأة ومنع التمييز ضدها.,3,وكان اعتماد قوانين مثل قانون دعم العمالة، وقانون إرسال قوة العمل إلى الخارج واستقبال قوة العمل والمتخصصين من الخارج، والبرنامج الوطني لدعم العمالة في عام 2001، وورقة استراتيجية الضمان الاجتماعي في عام 2003، خطوة هامة في تهيئة بيئة قانونية مواتية لدعم توظيف المرأة ومنع التمييز ضدها.,3,وكان اعتماد قوانين مثل قانون دعم العمالة، وقانون إرسال قوة عمل إلى الخارج واستلام قوة عمل وأخصائيين من الخارج، والبرنامج الوطني لدعم العمالة في عام 2001 وورقة استراتيجية الضمان الاجتماعي في عام 2003، خطوة هامة في تهيئة بيئة قانونية مواتية لدعم توظيف المرأة ومنع التمييز ضدها.,3
"This is an appropriate place to reaffirm to the Secretary-General and, in particular, to the Department for Disarmament Affairs, the great appreciation of the Government of the Republic of Cameroon for the constant support that it has given to the work of the Advisory Committee.",وهذا مكان مناسب للتأكيد مجددا للأمين العام، ولا سيما لإدارة شؤون نزع السلاح، على التقدير الكبير لحكومة جمهورية الكاميرون على الدعم المستمر الذي تقدمه لعمل اللجنة الاستشارية.,4,وهذا مكان مناسب لإعادة التأكيد للأمين العام، ولا سيما لإدارة شؤون نزع السلاح، على التقدير الكبير لحكومة جمهورية الكاميرون على الدعم المستمر الذي قدمته لعمل اللجنة الاستشارية.,4,وهذا المكان مناسب لإعادة التأكيد للأمين العام، ولا سيما لإدارة شؤون نزع السلاح، على التقدير الكبير لحكومة جمهورية الكاميرون على الدعم المستمر الذي تقدمه لعمل اللجنة الاستشارية.,4,وهذا مكان مناسب للتأكيد مجددا للأمين العام، ولا سيما لإدارة شؤون نزع السلاح، على التقدير الكبير لحكومة جمهورية الكاميرون على الدعم المستمر الذي تقدمه لعمل اللجنة الاستشارية.,4,وهذا مكان مناسب للتأكيد مجددا للأمين العام، ولا سيما لإدارة شؤون نزع السلاح، على التقدير الكبير لحكومة جمهورية الكاميرون على الدعم المستمر الذي تقدمه لعمل اللجنة الاستشارية.,4,وهذا مكان مناسب ليؤكد من جديد للأمين العام، ولا سيما لإدارة شؤون نزع السلاح، تقدير حكومة جمهورية الكاميرون الكبير للدعم المستمر الذي قدمته لعمل اللجنة الاستشارية.,4,وهذا مكان مناسب للتأكيد مجددا للأمين العام، ولا سيما لإدارة شؤون نزع السلاح، على التقدير الكبير لحكومة جمهورية الكاميرون على الدعم المستمر الذي قدمته لعمل اللجنة الاستشارية.,4,وهذا مكان مناسب للتأكيد مجددا للأمين العام، ولا سيما لإدارة شؤون نزع السلاح، على التقدير الكبير لحكومة جمهورية الكاميرون على الدعم المستمر الذي قدمته لعمل اللجنة الاستشارية.,4
"26. Approximately 1,150 km2, more than 20 per cent of the West Bank, are designated by Israel as closed military zones.",26 - وتحدد إسرائيل نحو 150 1 كيلومترا مربعا، أي أكثر من 20 في المائة من الضفة الغربية، بوصفها مناطق عسكرية مغلقة.,4,26 - وتحدد إسرائيل نحو 150 1 كيلومترا مربعا، أي أكثر من 20 في المائة من مساحة الضفة الغربية، بوصفها مناطق عسكرية مغلقة.,4,26 - وتحدد إسرائيل حوالي 150 1 كيلومترا مربعا، أي أكثر من 20 في المائة من مساحة الضفة الغربية، كمناطق عسكرية مغلقة.,4,26 - وتحدد إسرائيل نحو 150 1 كيلومترا مربعا، أي أكثر من 20 في المائة من مساحة الضفة الغربية، كمناطق عسكرية مغلقة.,4,26 - وتحدد إسرائيل نحو 150 1 كيلومترا مربعا، أي أكثر من 20 في المائة من مساحة الضفة الغربية، بوصفها مناطق عسكرية مغلقة.,4,26 - وتحدد إسرائيل نحو 150 1 كيلومترا مربعا، أي أكثر من 20 في المائة من مساحة الضفة الغربية، بوصفها مناطق عسكرية مغلقة.,4,26 - وتحدد إسرائيل نحو 150 1 كيلومترا مربعا، أي أكثر من 20 في المائة من مساحة الضفة الغربية، بوصفها مناطق عسكرية مغلقة.,4,26 - وتحدد إسرائيل نحو 150 1 كيلومترا مربعا، أي أكثر من 20 في المائة من مساحة الضفة الغربية، بوصفها مناطق عسكرية مغلقة.,4
"11. The session was also attended by observers from the following States: Belgium, Cyprus, Libya, Malta, Poland, Qatar, Saudi Arabia and Sweden.",11- وحضر الدورة أيضا مراقبون عن الدول التالية: بلجيكا وبولندا والسويد وقبرص وقطر وليبيا ومالطة والمملكة العربية السعودية.,4,11- وحضر الدورة أيضا مراقبون عن الدول التالية: بلجيكا وبولندا والسويد وقبرص وقطر وليبيا ومالطة والمملكة العربية السعودية.,4,11- وحضر الدورة أيضا مراقبون عن الدول التالية: بلجيكا وبولندا والسويد وقبرص وقطر وليبيا ومالطة والمملكة العربية السعودية.,4,11- وحضر الدورة أيضا مراقبون عن الدول التالية: بلجيكا وبولندا والسويد وقبرص وقطر وليبيا ومالطة والمملكة العربية السعودية.,4,11- وحضر الدورة أيضا مراقبون عن الدول التالية: بلجيكا وبولندا والسويد وقبرص وقطر وليبيا ومالطة والمملكة العربية السعودية.,4,11- وحضر الدورة أيضا مراقبون عن الدول التالية: بلجيكا وبولندا والسويد وقبرص وقطر وليبيا ومالطة والمملكة العربية السعودية.,4,11- وحضر الدورة أيضا مراقبون عن الدول التالية: بلجيكا وبولندا والسويد وقبرص وقطر وليبيا ومالطة والمملكة العربية السعودية.,4,11- وحضر الدورة أيضا مراقبون عن الدول التالية: بلجيكا وبولندا والسويد وقبرص وقطر وليبيا ومالطة والمملكة العربية السعودية.,4
"Security of tenure in these sectors is not guaranteed, thus making women vulnerable.",وضمان الحيازة في هذه القطاعات غير مضمون، مما يجعل المرأة ضعيفة.,4,ولا يكفل أمن الحيازة في هذه القطاعات، مما يجعل المرأة ضعيفة.,4,ولا يُكفل ضمان الحيازة في هذه القطاعات، مما يعرض المرأة للخطر.,3,وضمان الحيازة في هذه القطاعات غير مضمون، مما يجعل المرأة ضعيفة.,4,ولا يُكفل ضمان الحيازة في هذه القطاعات، مما يجعل المرأة ضعيفة.,4,وضمان الحيازة في هذه القطاعات غير مضمون، مما يجعل المرأة ضعيفة.,4,وضمان الحيازة في هذه القطاعات غير مضمون، مما يجعل المرأة ضعيفة.,4,ولا يكفل أمن الحيازة في هذه القطاعات، مما يجعل المرأة ضعيفة.,4
The Security Council had to deal with the controversies surrounding the Iraq crisis and the role to be played by the Organization in the aftermath of the war.,وكان على مجلس الأمن أن يعالج الخلافات المحيطة بأزمة العراق والدور الذي ستضطلع به المنظمة في أعقاب الحرب.,4,وكان على مجلس الأمن أن يعالج الخلافات المحيطة بأزمة العراق والدور الذي ستضطلع به المنظمة في أعقاب الحرب.,4,وكان على مجلس الأمن أن يعالج الخلافات التي تحيط بالأزمة العراقية والدور الذي يتعين على المنظمة أن تؤديه في أعقاب الحرب.,4,وكان على مجلس الأمن أن يعالج الخلافات المحيطة بأزمة العراق والدور الذي يتعين على المنظمة أن تؤديه في أعقاب الحرب.,4,وكان على مجلس الأمن أن يعالج الخلافات المحيطة بأزمة العراق والدور الذي يتعين على المنظمة أن تؤديه في أعقاب الحرب.,4,وكان على مجلس الأمن أن يتعامل مع الخلافات المحيطة بأزمة العراق والدور الذي ستضطلع به المنظمة في أعقاب الحرب.,4,وكان على مجلس الأمن أن يعالج الخلافات المحيطة بأزمة العراق والدور الذي ستضطلع به المنظمة في أعقاب الحرب.,4,وكان على مجلس الأمن أن يعالج الخلافات المحيطة بأزمة العراق والدور الذي ستضطلع به المنظمة في أعقاب الحرب.,4
Bosnia,البوسنة والهرسك,3,البوسنة والهرسك,3,البوسنة والهرسك,3,البوسنة والهرسك,3,البوسنة والهرسك,3,البوسنة,4,البوسنة والهرسك,3,البوسنة والهرسك,3
"Even if I knew, I wouldn't tell you, witch.",حتى لو كنت أعرف، أنا لن أقول لك، ساحرة.,4,حتى لو كنت أعرف، أنا لن أقول لك، ساحرة.,4,حتى لو كنت أعرف، لن أقول لك، ساحرة.,4,حتى لو كنت أعرف، لن أقول لك، ساحرة.,4,حتى لو كنت أعرف، لن أقول لك، ساحرة.,4,حتى لو كنت أعرف، لن أقول لك، ساحرة.,4,حتى لو كنت أعرف، أنا لن أقول لك، ساحرة.,4,حتى لو كنت أعرف، أنا لن أقول لك، ساحرة.,4
I think I'm having contractions.,أعتقد أن لدي تقلصات,4,أعتقد أن لدي تقلصات,4,أعتقد أنني أعاني من تقلصات,4,أعتقد أنني أعاني من تقلصات.,4,أعتقد أنني أعاني من تقلصات,4,أعتقد أنني أعاني من تقلصات,4,أعتقد أن لدي تقلصات,4,أعتقد أن لدي تقلصات,4
I'm going through a period of my life where I just can't be around people.,أنا أمر بفترة من حياتي حيث لا أستطيع التواجد حول الناس,4,أنا أمر بفترة من حياتي حيث لا أستطيع التواجد حول الناس,4,أنا أمر بفترة من حياتي حيث لا أستطيع التواجد حول الناس,4,أنا أمر بفترة من حياتي حيث لا أستطيع التواجد حول الناس,4,أنا أمر بفترة من حياتي حيث لا أستطيع التواجد حول الناس,4,أنا أمر بفترة من حياتي حيث لا يمكنني التواجد حول الناس,4,أنا أمر بفترة من حياتي حيث لا يمكنني التواجد حول الناس,4,أنا أمر بفترة من حياتي حيث لا يمكنني التواجد حول الناس,4
Think I just found a sample for you.,أعتقد أنني وجدت عينة لك,4,أعتقد أنني وجدت عينة لك,4,أعتقد أنني وجدت عينة لك,4,أعتقد أنني وجدت عينة لك,4,أعتقد أنني وجدت عينة لك,4,أعتقد أنني وجدت عينة لك,4,أعتقد أنني وجدت عينة لك,4,أعتقد أنني وجدت عينة لك,4
